ydstogo,yardline_100,score_differential,game_seconds_remaining,distance_group,field_zone,score_state,time_state,decision,epa,wpa
22.0,76.0,0.0,3399.0,VERY_LONG,OWN_TERRITORY,TIED,EARLY,PUNT,0.6505886446684599,0.043583810329437256
7.0,74.0,0.0,3346.0,LONG,OWN_TERRITORY,TIED,EARLY,PUNT,-0.43632369535043836,0.002341926097869873
12.0,24.0,0.0,3007.0,VERY_LONG,OPPONENT_21_35,TIED,EARLY,FIELD_GOAL,0.8597873235501448,0.02017119526863098
5.0,18.0,-3.0,2102.0,MEDIUM,RED_ZONE,TRAILING,EARLY,FIELD_GOAL,0.3459129667711687,0.013372272253036499
13.0,69.0,-7.0,1654.0,VERY_LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.3497101180255413,0.05417338013648987
12.0,32.0,7.0,1461.0,VERY_LONG,OPPONENT_21_35,LEADING,MID,FIELD_GOAL,1.3413219386838882,0.050965458154678345
5.0,20.0,-10.0,1139.0,MEDIUM,RED_ZONE,TRAILING,MID,FIELD_GOAL,-3.6225573188735907,-0.055443450808525085
11.0,61.0,10.0,961.0,VERY_LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.7671152562834322,-0.0004923790693283081
7.0,60.0,-10.0,839.0,LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.6052274093963206,0.010987617075443268
9.0,59.0,10.0,556.0,LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.2972182100638747,-0.0308835431933403
15.0,88.0,-10.0,537.0,VERY_LONG,OWN_TERRITORY,TRAILING,MID,PUNT,-1.2386217060266063,-0.01109263300895691
10.0,28.0,10.0,280.0,LONG,OPPONENT_21_35,LEADING,LATE,FIELD_GOAL,-3.5106734431160405,-0.027707085013389587
10.0,10.0,-10.0,164.0,LONG,RED_ZONE,TRAILING,LATE,FIELD_GOAL,0.07803976369015686,0.025348860770463943
19.0,83.0,7.0,120.0,VERY_LONG,OWN_TERRITORY,LEADING,LATE,PUNT,-0.5414145777467638,-0.046037524938583374
1.0,24.0,-7.0,26.0,SHORT,OPPONENT_21_35,TRAILING,LATE,GO,0.6139797169016674,0.01773032546043396
10.0,18.0,-7.0,4.0,LONG,RED_ZONE,TRAILING,LATE,GO,-2.5252382940088864,-0.08105966448783875
22.0,34.0,-7.0,2923.0,VERY_LONG,OPPONENT_21_35,TRAILING,EARLY,FIELD_GOAL,1.913106765179588,0.06315398216247559
3.0,58.0,4.0,2809.0,MEDIUM,OWN_TERRITORY,LEADING,EARLY,PUNT,-0.01541904080659151,0.022872596979141235
6.0,73.0,-3.0,2534.0,LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,-0.15352890454232693,0.006797462701797485
5.0,7.0,-10.0,1971.0,MEDIUM,RED_ZONE,TRAILING,EARLY,FIELD_GOAL,0.07896498742947022,-0.023201942443847656
24.0,31.0,7.0,1835.0,VERY_LONG,OPPONENT_21_35,LEADING,EARLY,FIELD_GOAL,1.1444851842470112,0.03520694375038147
